x, y
 4.3136110, 6.4111945
 4.3180280, 6.4209860
 4.3224863, 6.4307569
 4.3269860, 6.4405070
 4.3315274, 6.4502363
 4.3361107, 6.4599447
 4.3407360, 6.4696320
 4.3454036, 6.4792982
 4.3501135, 6.4889432
 4.3548661, 6.4985669
 4.3596616, 6.5081692
 4.3645000, 6.5177500
 4.3693816, 6.5273092
 4.3743067, 6.5368467
 4.3792753, 6.5463624
 4.3842876, 6.5558562
 4.3893440, 6.5653280
 4.3944445, 6.5747777
 4.3995894, 6.5842053
 4.4047788, 6.5936106
 4.4100129, 6.6029935
 4.4152920, 6.6123540
 4.4206162, 6.6216919
 4.4259857, 6.6310072
 4.4314007, 6.6402996
 4.4368614, 6.6495693
 4.4423680, 6.6588160
 4.4479207, 6.6680397
 4.4535196, 6.6772402
 4.4591650, 6.6864175
 4.4648571, 6.6955715
 4.4705960, 6.7047020
 4.4763820, 6.7138090
 4.4822151, 6.7228924
 4.4880957, 6.7319521
 4.4940240, 6.7409880
 4.5000000, 6.7500000
 4.5060240, 6.7589880
 4.5120963, 6.7679519
 4.5182169, 6.7768916
 4.5243860, 6.7858070
 4.5306040, 6.7946980
 4.5368709, 6.8035645
 4.5431870, 6.8124065
 4.5495524, 6.8212238
 4.5559673, 6.8300163
 4.5624320, 6.8387840
 4.5689466, 6.8475267
 4.5755113, 6.8562444
 4.5821263, 6.8649368
 4.5887918, 6.8736041
 4.5955080, 6.8822460
 4.6022751, 6.8908625
 4.6090932, 6.8994534
 4.6159626, 6.9080187
 4.6228835, 6.9165583
 4.6298560, 6.9250720
 4.6368804, 6.9335598
 4.6439567, 6.9420216
 4.6510853, 6.9504573
 4.6582664, 6.9588668
 4.6655000, 6.9672500
 4.6727864, 6.9756068
 4.6801259, 6.9839371
 4.6875185, 6.9922408
 4.6949644, 7.0005178
 4.7024640, 7.0087680
 4.7100173, 7.0169913
 4.7176246, 7.0251877
 4.7252860, 7.0333570
 4.7330017, 7.0414991
 4.7407720, 7.0496140
 4.7485970, 7.0577015
 4.7564769, 7.0657616
 4.7644119, 7.0737940
 4.7724022, 7.0817989
 4.7804480, 7.0897760
 4.7885495, 7.0977253
 4.7967068, 7.1056466
 4.8049202, 7.1135399
 4.8131899, 7.1214051
 4.8215160, 7.1292420
 4.8298988, 7.1370506
 4.8383383, 7.1448308
 4.8468349, 7.1525825
 4.8553888, 7.1603056
 4.8640000, 7.1680000
 4.8726688, 7.1756656
 4.8813955, 7.1833023
 4.8901801, 7.1909100
 4.8990228, 7.1984886
 4.9079240, 7.2060380
 4.9168837, 7.2135581
 4.9259022, 7.2210489
 4.9349796, 7.2285102
 4.9441161, 7.2359419
 4.9533120, 7.2433440
